Speaker,Speech,Words_in_Speech,Language
श्री सुल्तान अहमद,"नागपुर में हमारे दोस्तों का हैडक्वार्टर है, जो संसद में बैठे हैं। आज वे उनका इशारा सुनते हैं, कितनी दूर तक प्रधान मंत्री के पीछे जाना है, कितनी दूर तक प्रधान मंत्री की पालिसी को समर्थन करना है, देश ऐसे नहीं चलेगा। हमारे देश में कुछ दिन पहले जो वाकया हुआ, हम यह समझते थे कि मोदी जी बड़े ताकतवर हैं, मोदी जी का 56 इंच का सीना है। ...(व्यवधान) मैं तारीफ कर रहा हूं, मैंने 56 से 36 इंच हो गया, ऐसा तो नहीं बोला, मैं 56 इंच ही कह रहा हूं, 36 नहीं कह रहा हूं। आज से दस दिन पहले हरियाणा में क्या हुआ? वहां किसकी सरकार है, वहां बीजेपी की सरकार है। वहां क्या हुआ, जाट नौजवानों ने रिजर्वेशऩ की डिमांड पर 34 हजार करोड़ रुपये का देश का नुकसान कर दिया। मोदी जी और हमारे राजनाथ सिंह जी करीब थे। वैसे मोदी जी बोलते बहुत हैं, जैसे गुजरात में हार्दिक पटेल का आंदोलन होता है, लेकिन जाट आंदोलन में मोदी जी की जुबान नहीं खुली, लेकिन राजनाथ सिंह जी सामने आए कि मैं देखता हूं। आज क्या हो रहा है, कैसे देश चल रहा है, सैकड़ों लोग मारे गये हैं और समाज में जबरदस्त सोशल टेंशन और एक दरार पैदा हो गई है। लोगों ने वहां रेप किये, ये सब रिपोर्ट राजनाथ सिंह जी के पास है, वह सब जानते हैं, मैं डराना नहीं चाहता। लेकिन मुझे ऐसा लगता है कि डा.मनमोहन सिंह जी ने अपनी चुप साधने वाली कमजोरी मोदी जी को दे दी है कि चुपचाप रहो। इन हालात में देश को आगे कैसे ले जायेंगे। मैं कह रहा था कि राजनाथ सिंह जी के दफ्तर की रिपोर्ट है, पूरे देश में 2011 से 2015 तक 3365 फिर्कवाराना फसादात हुए। अगर पचास साल का इतिहास देखेंगे तो पचास हजार से ऊपर फिर्कवाराना फसादात इस देश में हुए हैं। लेकिन आज हर महीने तकरीबन 58 से 60 कम्युनल इंसिडेन्ट्स हो रहे हैं। वहीं आप बंगाल में चले जाएं, आज हमारे गवर्नर साहब ने विधान सभा में कहा है - “ Bengal is free from all communal riots. ” बंगाल में कुछ नहीं हुआ है। बंगाल में ममता बनर्जी की सरकार इंसाफ करना जानती है। वह नौजवानों को नौकरी दे रही है, मुस्लिम नौजवान, जो पूरे देश में दो परसैन्ट के करीब सरकारी नौकरियों में हाशिये पर आ गये हैं। आप जाटों के लिए सोच रहे हैं, लेकिन मैं कहूंगा कि ममता बनर्जी इस देश में हर तबके के लोगों के लिए, चाहे वह ब्राहमण हो, चाहे वह खत्री हो, सबके लिए सोच रही है। आप गरीबी की सतह पर आरक्षण दीजिए, कौन पावर्टी लाइन के नीचे हैं, उन्हें आरक्षण दीजिए। आज आपने जात-पात के नाम पर आरक्षण दिया है। लेकिन जब अक्लियत मुसलमान, अक्लियत क्रिश्चियन को आरक्षण देने की बात आती है तो आप मुंह मोड़ लेते हैं। यह कैसे होगा? आपने बिहार में देखा, वहां की जनता ने, बिहार के किसानों और गरीबों ने किस तरह इस सरकार के खिलाफ वोट दिया। क्योंकि प्रदेश में निर्वाचन होने से ऐसा वातावरण पैदा होता है कि मोदी जी का मुकाबला उस सूबे के होने वाले मुख्य मंत्री से हो रहा है। आज क्या हो रहा है? हमने कभी नहीं देखा कि इंदिरा जी तमाम सूबों में जा कर मीटिंग कर रही हों। हमने कभी नहीं देखा कि राजीव जी स्टेट का इलैक्शन लड़ रहे हों, हमने कभी नहीं देखा कि विश्वनाथ प्रताप सिंह दूसरे सूबे में जाकर कौन चीफ मिनिस्टर होगा, … (Interruptions)… * * * मोदी जी जब जाते हैं, मोदी जी निर्वाचन के समय में जाते हैं, … (Interruptions)… *",587,hi
HON. DEPUTY-SPEAKER,"Allegations cannot go on record. … (Interruptions) गृह मंत्री (श्री राजनाथ सिंह) : उपाध्यक्ष महोदय, मैं यह बताना चाहता हूँ कि हरियाणा के मामले में भी यदि हमने हस्तक्षेप किया था, यदि वहां के जनप्रतिनिधियों से हमने बातचीत की थी, तो अपने प्रधान मंत्री जी से राय परामर्श करने के बाद और उनकी सहमति के आधार पर ही मैंने बातचीत की थी। मैं समझता हूँ कि इतने बेबुनियाद और निराधार आरोप किसी देश के प्रधान मंत्री के ऊपर लगाना कि वे रूपये ले कर साथ जाते हैं, यह ठीक नहीं है, मैं इसे कंडम करता हूँ और मैं आपसे निवेदन करूंगा कि इसे कार्यवाही से बाहर किया जाए।",108,hi
HON. DEPUTY-SPEAKER,"I will expunge those words. Those words, which he said, cannot go on record. … (Interruptions)",16,en
श्री सुल्तान अहमद,"डिप्टी स्पीकर सर, राजनाथ सिंह जी का मैं आदर करता हूँ। ...(व्यवधान) लेकिन लोग कह रहे हैं, देश कह रहा है, अगर वे विदेश में रहते, जब हरियाणा का वाक्या हो रहा था, मैं कुछ नहीं कहता, हरियाणा से तीस किलोमीटर की दूरी पर दिल्ली नगरी में वे बैठे थे, हरियाणा जल रहा था, लोगों की तबाहियां हो रही थी। ...(व्यवधान) आज देश का नुकसान हो रहा है। ...(व्यवधान) देश सुनना चाहता है। ...(व्यवधान) मोदी जी क्या निर्णय ले रहे हैं। ...(व्यवधान) जो प्रधान मंत्री हर 15 दिन में मन की बात कहें, मैं सन् 2014-15 की बात कर रहा हूँ, तब मैं भी मन की बात सुना करता था। पूरा देश सुनता था। ...(व्यवधान) * * * आज इस सरकार ने मोदी जी को किस जगह ला खड़ा किया है। ...(व्यवधान) *",133,hi
HON. DEPUTY-SPEAKER,"Mr. Sultan Ahmed, you address the Chair. … (Interruptions)",9,en
श्री सुल्तान अहमद,"19 महीने पहले, जब वे प्रधान मंत्री बने थे। ...(व्यवधान)",10,hi
HON. DEPUTY-SPEAKER,Do not write. … (Interruptions)…,5,en
HON. DEPUTY-SPEAKER,"Mr. Sultan Ahmed, I am requesting you to address the Chair, first. Second, do not create an atmosphere which raises emotions. Try to be on the point. You have the right to criticise but at the same time, the decorum should be maintained.",43,en
श्री सुल्तान अहमद,"डिप्टी स्पीकर सर, कल आप यहां बैठे थे, आपने",9,hi
"श्री वैंकैय्या नायडू जी के कसीदे सुने हैं। ...(व्यवधान) रमेश बिधुड़ी जी नहीं हैं, वे नायडू जी के पीछे बैठे थे, रमेश बिधुड़ी जी ने विपक्ष के लोगों को बोलने नहीं दिया। ...(व्यवधान) मैं कहुंगा कि रमेश बिधुड़ी जी को बुला लीजिए, मैं वैलकम करूंगा। HON. DEPUTY-SPEAKER",You please address the Chair.,5,en
श्री सुल्तान अहमद,"डिप्टी सर, वे बैठे थे, आपने कल देखा है तो आज अगर इस भाषण मे मोदी जी का ज़िक्र हो, हमारे कैबिनेट मंत्री एक घंटा दस मिनिट तक बोलते रहे और प्रधान मंत्री को उन्होंने जो सर्टिफिकेट दिया है, मेरे ख्याल में यह सर्टिफिकेट अगर छापने जाए तो सन् 2019 आ जाएगा। देश की जनता की जो बदहाली है, जो दीवारों पर हम देख रहे हैं, आप खुद देखेंगे कि वर्ष 2019 में इनका क्या हाल होगा।...(व्यवधान) अवाम और जनता जो चाहती थी।...(व्यवधान) हमारा प्रधानमंत्री महापुरूष है।...(व्यवधान) इससे आप खुश हैं।...(व्यवधान) उस महापुरूष ने गरीबों के लिए क्या कहा था, कहा था कि काला धन हम वापस लाएंगे।...(व्यवधान) भारतवर्ष की जनता को इन्तजार था, गरीब किसान, गरीब मजदूर रोजाना बैंक मैनेजर से जाकर पूछा करता था कि मैनेजर साहब हमने जन-धन योजना के तहत मोदी जी के कहने पर अकाउन्ट खोला है। आज 19 महीने हो गए हैं, 19 महीने में उस गरीब किसान के हित में, उस गरीब मजदूर के बैंक अकाउन्ट में 15 रूपए भी नहीं आए हैं।...(व्यवधान) 15 रूपया भी नहीं आया है।...(व्यवधान) क्या आप लोगों को मिला है?...(व्यवधान) हमारे सज्जन स्वामी जी बैठे हैं। मैं हाथ जोड़कर कहूँगा कि आपके अकाउन्ट का क्या हाल है?...(व्यवधान) मैं हाथ जोड़कर निवेदन करूँगा।...(व्यवधान) सदन को बता दें कि आपके अकाउन्ट का हाल क्या है?...(व्यवधान)",215,hi
श्री सुमेधानन्द सरस्वती (सीकर),"बोलिए, आप मुझे क्या कहना चाहते हैं?",7,hi
श्री सुल्तान अहमद,"क्या 15 लाख रूपए में से कुछ आपके अकाउन्ट में आया? ...(व्यवधान) ब्लैक मनी, काला धन जो विदेश में था।...(व्यवधान) विदेश में जो काला धन जमा था।...(व्यवधान)",27,hi
श्री सुमेधानन्द सरस्वती,आप यह बताओ कि बीमा किसलिए किया जाता है? ...(व्यवधान),10,hi
श्री सुल्तान अहमद,"बीमा मरने के बाद होता है स्वामी जी, जिन्दा रहने के लिए, रोटी खाने के लिए हमें पैसा चाहिए, बीमा नहीं चाहिए।... (व्यवधान) बीमा मरने के बाद होता है।...(व्यवधान) बीमा जिन्दा रहने के लिए नहीं है।...(व्यवधान) खाते में आज तक कुछ नहीं आया है।...(व्यवधान)",44,hi
HON. DEPUTY SPEAKER,Please wind up. … (Interruptions),5,en
SHRI SULTAN AHMED,I have time. अभी तो मेरा समय बचा हुआ है।...(व्यवधान) अभी समय नहीं हुआ है।...(व्यवधान),15,hi
HON. DEPUTY SPEAKER,Majority or minority is not involved in speeches.,8,en
श्री सुल्तान अहमद,"महोदय, अगर मोदी जी को कुछ कहें तो इन्हें बुरा लगता है तो क्या मैं राजनाथ सिंह जी के बारे में कुछ कहूँ। राजनाथ सिंह जी जिस क्षेत्र से संसद के सदस्य हैं, वे लखनऊ से हैं। वहाँ के मुसलमान, दो लाख की आबादी है, वे हमारे होम मिनिस्टर की बहुत इज्जत करते हैं। लेकिन वहाँ के बेकार नौजवानों की दशा आप देखें। वहाँ की औरतों और बस्तियों की दशा आप देखें। तमाम काम बनारस में होता है, क्योंकि वह प्रधानमंत्री का क्षेत्र है।...(व्यवधान) तमाम काम होता है अहमदाबाद में, गुजरात में।...(व्यवधान) प्रधानमंत्री, देश की जनता ने यह नहीं चाहा था।...(व्यवधान) महोदय, उन्हें चुप कराइए।...(व्यवधान) देश की जनता चाहती थी, मैं चाहता था, मेरी पार्टी चाहती थी।...(व्यवधान) आज ममता बनर्जी का काम, उन्होंने फूड सिक्योरिटी एक्ट में 7.5 करोड़ लोगों को जोड़ा है, दस करोड़ की आबादी है। 7.5 करोड़ लोगों को राशन मिलना शुरू हो गया है, दो रूपए किलो चावल और दो रूपए किलो गेहूँ।...(व्यवधान) अल्पसंख्यकों के लिए ममता बनर्जी ने ओबीसी का ऐम्बिट बढ़ाया है।...(व्यवधान) मैं उत्तर प्रदेश सरकार से भी कहूँगा कि ओबीसी का ऐम्बिट बढ़ा दिया जाए।...(व्यवधान)",182,hi
HON. DEPUTY SPEAKER,"Nothing will go on record except his speech. … (Interruptions)… * * * कौशल विकास और उद्यमशीलता मंत्रालय के राज्य मंत्री तथा संसदीय कार्य मंत्रालय में राज्य मंत्री (श्री राजीव प्रताप रूडी): उपाध्यक्ष महोदय, मेरा आग्रह है कि एक तो सदस्य आपको देखकर बोलें, He should address you and speak instead of addressing the Members because consistently he has been addressing the Members instead of addressing the Chair, और इतनी नफ़रत के साथ देश के प्रधान मंत्री के खिलाफ ज़ुबान चला रहे हैं। हमें कोई आपत्ति नहीं है, लेकिन देश भी देख रहा है कि इनकी ज़ुबान से एक व्यक्ति जो देश का प्रधान मंत्री है और उनको पूरा देश मानता है, कितनी नफ़रत की जुबान से हमारे",118,hi
"माननीय सदस्य उनके बारे में बोल रहे हैं, हमारा पूरा देश देख रहा है। ...(व्यवधान) श्री सुल्तान अहमद","मैं राजीव प्रताप रूडी जी के बारे में भी कुछ कह दूँ। ...(व्यवधान) उनके बारे में नहीं, उनके डिपार्टमैंट के बारे में। ...(व्यवधान) माननीय प्रधान मंत्री जी ने एक बहुत ही अच्छा दफ्तर कामकाज करने का रूडी जी को दिया - स्किल डैवलपमैंट। ...(व्यवधान) कल मैं उनसे सुन रहा था कि ...(व्यवधान) डिप्टी स्पीकर साहब, आप भी सुनिए, अब मैं प्रधान मंत्री जी के बारे में कुछ नहीं कहूँगा। पूरे देश में स्किल डैवलपमैंट के नाम पर एक ढोंग शुरू हो गया है। स्किल डैवलपमैंट देखेंगे तो वह ढोंग हो गया है। ...(व्यवधान) नहीं, नौटंकी नहीं बोलेंगे, नहीं तो रूडी जी नाराज़ हो जाएँगे। पूरा ढोंग शुरू हो गया है कि पूरे देश के नौजवानों को हम बारोज़गार करेंगे, रोज़गार से जोड़ेंगे। ...(व्यवधान)",123,hi
