Speaker,Speech
SHRI MULAYAM SINGH YADAV,"Many promises have been made in 
this election.  The Prime Minister had mainly said four things.  He had said that 
with his Government coming to power, he would curb price rise.  We agree that he 
cannot check it in such a short span but he could at least reduce it a little bit.  
Further, if he was not able to reduce it he could at least do something which could 
stabilize prices.  Secondly, I want to say that he had said that the Government 
would provide employment to the youth and no one would remain unemployed.  
But there are still 8-10 crore unemployed people in the country.  Therefore, I want 
to know from the Government by when it will eradicate unemployment and stop 
the price rise.  It has been said that the land occupied by Pakistan in Kashmir and 
the land of India occupied by China would be taken back.  I want to know by when 
the land under occupation would be taken back.  He had recently met his Pakistani 
counterpart and he must have discussed Kashmir issue with him.  So he should 
inform the House what talks were held and what issues were raised during the 
meeting with Pakistani PM and also state the extent to which agreement on the 
matter has been reached.  Besides, he said that he will provide pucca houses to the 
people.  This promise should not remain as a mere announcement.  It should be 
implemented as well.  So far as Hindi is concerned, we not only raise the matter 
concerning Hindi but also of other Indian languages.  So, all the regional languages 
of India should be given due recognition.  The entire country is agog with 
excitement that everyone would get a pucca house.  Problem will arise when it 
would not be possible to provide pucca house to everyone.  If everyone gets a 
pucca house in ten years, our‟s would become the best country in the world. We 
have always given the slogan that food, clothing and shelter are the basic 
necessities.  We support Indian languages.  Local language is widely spoken in our 
party.  All the Indian languages especially regional languages be promoted and 
steps be taken for their translation.  This would be a big historical achievement.   
DR. KIRIT P. SOLANKI: The Government has shown its resolve to 
alleviate poverty in the President‟s Address. Inflation has been constantly rising 
during the last few years.  This government has shown its commitment towards 
controlling inflation on priority basis.  The Government has also resolved to 
provide urban amenities in rural areas and have presented a development model 
„RURBAN‟ which envisages providing urban facilities in villages without 
changing the basic character of the villages.  I am fully confident that this 
innovative model will result into the development of the villages.  The growth rate 
of agriculture sector can be accelerated further by increasing investments into the 
sector resulting in creation of better agricultural infrastructure and infusion of 
technology in this sector.   Talents in the field of sports could be brought to the 
national arena by launching National Sports Talent Search Schemes.  The health 
services will undergo radical change on account of launching National Health 
Assurance Mission.  I also welcome the commitment of the Government for the 
welfare of the Scheduled Tribes in pursuance of its objectives of the social justice. 
The promise of the Government to take the country on to the path of progress by 
strengthening the federal structure of the country through the participation of 
Centre and the States is a commendable step.  Country will make further progress 
by modernization of and investment in railways.  Proper utilization of the energy 
resources can be ensured by implementing the National Energy Policy.  The 
thriving culture of this country has found expression with the blessings of mother 
Ganga.  I thank the Government for taking the resolve of cleansing of the river 
Ganga.  I also welcome the resolution of the Government for enhancing the 
prestige of the country by extending the hand of friendship to not only her 
neighbouring countries but also to all the countries in the world."
SHRIMATI JAYSHREEBEN PATEL,"This BJP led NDA Government is 
committed to the cause of poor.  This Government has also taken a resolution for 
the complete alleviation of poverty.  This Government has brought the concept of 
Gujarat model of development for the upliftment of the rural areas comprising 
almost two-third of India‟s population.  It is worthy of praise.  The Government 
will try to achieve its maxim of „Minimum Government, Maximum Governance‟.  
The Government has come to power on the twin plank of development and 
governance.  The Government has also put forward its agenda of intertwining the 
National Talent Search Programme with the school curriculum and promotion of 
sports through education.  The Government will give top priority to contain 
inflation for which it intends to take effective steps against hoarding and black-
marketing besides improving the Public Distribution System.  The Government has 
also stated its intention of working with the global community in dealing with the 
challenges on climate front.   Mention of reviving Golden Quadrilateral Project has 
also found place in the President‟s Address.  The Government has constituted a 
special investigation team to curb the menace of black money and corruption 
which are eating into the vitals of Indian democracy.  This shows the true 
commitment of the Government towards democracy."
SHRI R. DHRUVANARAYANA,"Today, country is facing many issues, 
challenges and government must act carefully in addressing these issue and meet 
challenges.  Government should provide right market price to the farmers for their 
products.  Government has not talked much about its visions on social justice 
policies.  Government should lay out its constructive plan of action for social 
justice and women empowerment.  Government should act quickly on addressing 
the issues of water problems in co-ordination with State Governments.  
Government should not forget the agriculture sector demands and needs, while 
giving priority to manufacturing and other sectors.  Government should also lay 
out his visions and long term plans to empower youth of this country."
SHRI DADDAN MISHRA,"I support the Motion of Thanks on the 
President‟s Address.  There is a need to develop irrigation facilities in Shravasti 
Lok Sabha Constituency.  Shravasti should be connected to railway network.  An 
air strip should be developed there in order to harness the tourism potential of the 
India.   
CAPTAIN AMRINDER SINGH: Over 90 per cent of issues mentioned in 
President‟s Address are only old wine in a new bottle.  These are the same 
programmes of the Congress Party which have been brought in under some other 
name by the ruling government.  Form poverty alleviation they want to go to 
poverty elimination.  We would like to know how the Government would make 
100 cities in five years.  They are saying that in the 75th year of the birth of our 
nation which is eight years from now every home in the country, every village, 
every city is going to have 24x7 power and also toilets. How?   We have a very 
major problem of drugs in this country particularly in the Northern States and I do 
not know why this has not been raised.  In my State, may be 70 per cent of the 
people are reeling under drugs.  I have in my constituency a Mohalla which is 
called Maqboolpura, where about 90 per cent of the men have died because of 
drugs and ten percent are left who are on drugs and are likely to die.  How are we 
going to deal with this problem?  Are you going to give money for de-addiction 
centres?  The State Government has locked up about 20,000 young addicts.  They 
should be sent to hospitals.  Pick up the people who are actually trading in drugs 
and bringing drugs into this country.  We are just 44 in number.  Number does not 
matter, what matters is the quality to fight, to oppose.  „One Rank One Pension‟ 
was brought in by the last Government.  There are so many Acts which have not 
been mentioned in the President‟s Address.  We have the Right to Information Act, 
Right to Education Act and the Food Security Act.  Because of MNREGA people 
are getting work in their own states.  We also started the Rural Health Mission.  
The Government should take note of these in their programme and agenda for the 
future.  
*SHRI PREM SINGH CHANDUMAJRA: Democracy can install a 
common man as the ruler of the country and also dethrone a ruler.  This is the first 
time since Independence that a non-Congress party has won a landslide victory at 
the hustings and a non-Congress coalition has won a decisive mandate.  People of 
India were fed up with the corruption, scandals, scams, sky-rocketing prices and 
ever-increasing unemployment of the previous Government.  “Beti Bachaao, Beti 
Padhao” is an important scheme.  The State Governments have become powerless.  
The Central Government has continuously encroached on the domain of the states. 
I am sure that the federal structure will be bolstered.  We always championed the 
cause of empowering the states.  Funds must be provided to the states.  The State 
Governments must be consulted in matters that pertain to the states.  Only then can 
the states flourish. Prosperous states will lead to a prosperous India.  I am sure, 
agriculture will get an impetus under this Government.  The gulf between the rich 
and the poor is increasing.   10 per cent of the rich are gobbling up all the benefits.  
                                                          
* Original in Punjabi 
Agriculture has to be accorded due importance.  We talk about “Sabka Saath, 
Sabka Vikas”."
SHRI D.K. SURESH,"I support the motion moved by Shri Rajiv Pratap 
Rudy Ji and seconded by Shri Ram Vilas Paswan Ji.  NDA government came to 
power because it highlighted the issue of price rise during all election rallies. I 
kindly request the Government to clarify how you are going to control the prices of 
daily essentials like food-grains, vegetables, petrol & diesel, building materials.  
The Congress led UPA believed that the farmer needs to be adequately 
compensated for his hard work in the fields.  This is why we hiked MSP.  But 
NDA leaders are silent on this aspect.  UPA government initiated a historic 
opportunity to provide food security to crores of Indians and end the problem of 
hunger once for all through the Food Security Act. Under no other government has 
poverty declined as rapidly as it did under the UPA government due to 
revolutionary measures like the Mahatma Gandhi National Rural Employment 
Guarantee Act.  The UPA provided Rs. 72,000 crore loan waiver to debt-ridden 
farmers.  Nirmal Bharath Abhiyan of our UPA government is renamed as Swachh 
Bharat Mission.  UPA government launched Sarva Siksha Abhiyan and Rashtriya 
Madhyamik Shiksha Abhiyan.   The issue of water disputes has not been 
mentioned in the President‟s address.  The need of the hour is to have a national 
policy of water sharing between states concerned.  Protection of industrial 
labourers, unorganized sector labour, workers‟ rights and their welfare regarding 
health, pensions, insurance also requires your attention. In order to promote Indian 
languages, the central government should bring a national policy in regard to 
medium of instruction at primary level.  I welcome the proposal of the government 
to set up Pradhan Mantri Krishi Sinchayee Yojana."
SHRI SUGATA BOSE,"We only wish the new Government had utilized 
the President‟s Address better to give us and the country a clear enunciation of 
policies instead of a recitation of pious wishes. We share with the Government a 
commitment to build a strong India that will command the highest respect around 
the world.  We commend the Hon. Prime Minister for his initiative in inviting the 
leaders of SAARC countries to his Swearing-in ceremony. One of the biggest 
challenges of the 21st century will be for India and China to peacefully manage 
their simultaneous rise.  We agree with the Government that Japan can be our 
valuable partner in building world class infrastructure. I would like to say that we 
will extend our hand of cooperation in the conduct of foreign policy by the 
Government.  It is true that the federal spirit animating our polity in the past has 
been sadly diluted in recent years. We welcome the Centre‟s promise of 
cooperative federalism.  I call upon the Central Government in its reply to spell out 
what policies it will adopt to provide relief to debt-trapped States.  Western and the 
Northern regions lag behind the Eastern and the Southern regions in terms of every 
conceivable index of human development and social infrastructure, specially 
education and health.  The visionary Kannyasree scheme of West Bengal presages 
the Central Government‟s Beti Bachao, Beti Padhao campaign.   The highly 
successful Jal Dharo, Jal Bharo programme for water security holds lessons for 
the proposed Pradhanmantri Krishi Sinchayee Yojana.   The Central Government 
would be well-advised to follow West Bengal‟s lead in becoming an enabler for 
modern Madrasa education with a minimum of State interference.  West Bengal 
will never permit the language of citizenship to be used as a façade for anti-
minority prejudice.  States must play a pre-eminent role in the field of education. It 
will not suffice to simply build IITs and IIMs in various States. We have to build 
world class universities on the solid foundation of primary and secondary school 
education."
SHRIMATI RAMA DEVI,"At the outset, the President in his Address 
expressed his concern regarding the existing poverty in the country and mentioned 
the commitment of the government to eradicate it, to provide help and all types of 
facilities to the citizens through empowerment which is commendable.  Although, 
more than two third of the people live in rural areas yet the previous government 
failed to provide basic facilities and livelihood opportunities.  Most of the people 
in our country depend on agriculture.  During the past few years the farmers had to 
face unprecedented difficulties. The commitment of present government to 
improve this unfortunate situation mentioned by the President, has enthused the 
farmers. “Pradhan Mantri Krishi Sinchayee Yojana” would provide succour to the 
farmers.  The President mentioned the formulation of a new health policy in his 
Address. The plan of the Government to launch a “Swachh Bharat Mission”  has 
given me personal satisfaction.  The commitment of the government to reserve 33 
per cent of seats in State Legislatures and Parliament for women would certainly 
increase the participation of women and their empowerment. Comprehensive 
judicial reforms are needed.  Like Gujarat, “Night Courts” should be set up in other 
states also.   
SHRI B. SHRIRAMULU: Hon‟ble Prime Minister has a strong 
commitment to fulfill the promises he made to the people of the country.  He 
always used to inspire people that they would see good times in the near future.  
The new Government has drawn up a time bound programme to translate its 
promises into actions.  The Government has started taking steps to improve every 
aspect of governance to ensure all round development of the country.  In the last 
ten years the economy of the country had collapsed.  Inflation was touching new 
highs.  The rupee had reached an all time low against U.S. dollar.  People of the 
country were in great distress.  A few cities of the country are dominating higher 
education. However, the President‟s Address spelt out the opening of IITs and 
                                                          
 Original in Kannada. 
IIMs in all the states.  Thus, higher education and technical education would reach 
each and every corner of the country.  I would say that in the near future students 
from America and Australia would line up in queue to get Indian visa for higher 
education.  The new Government is committed to provide in every village basic 
facilities like Sulabh Toilets.   The Government has constituted SIT to unearth 
back money stashed away in foreign banks.  This step made people happy.   “Ek 
Bharat Shresht Bharath” slogan of the President‟s Address is a symbol of our 
Patriotism.  Rural areas of my constituency Bellary are facing drinking water 
problems. My district is drought affected.  Therefore, I request a special assistance 
to solve these problems.  The government will develop 100 cities of the country 
and upgrade them to world class cities.  I request the government to sanction an IIT 
in Bellary district."
SHRI BISHNU PADA RAY,"Andaman and Nicobar Islands can also be 
develop as a world class tourist destination like Singapore.  Andaman and Nicobar 
Islands have India‟s one third exclusive economic zone and the exploitation of it‟s 
marine wealth will make India‟s economy stronger and provide large scale 
employment also.  During the NDA regime Port Blair Airport was renamed Veer 
Sawarkar and it was to be made an international airport.  But even after 10 years 
there has been no progress.  I request that it be implemented at the earliest.  
Similarly, during the NDA rule construction of 333 km. of national highway from 
Chiriyatappu to Diglipur, in Port Blair was announced.  Crores were spend to 
reclaim land at Campbel Bay, the Southernmost tip of India without constructing 
Sunpub Gate and earthern dam.  CBI inquiry is necessary in this.  BPL survey 
should be done again in the urban city Port Blair, Andaman and Nicobar Islands. 
There is immense sports talent, specially, water sports, in our Island. Adequate 
opportunity should be provided to such sports persons. During the UPA regime the 
support price of copra was Rs. 44/ Rs. 51.  But the agency purchased it for Rs. 
20/22.  This entire scam should be investigated by the CBI. There is a cooperative 
bank in Andaman and Nicobar Islands. Its functioning should be immediately 
inquired into to save the bank.  Similarly, after the 2004 tsunami the Zilla Parishad 
misappropriated crores in the name of overhead water tank, pipeline, RO plant, 
earthen dam and sluice gate.  The CBI should enquire into this also.  Inter Island 
shipping service be strengthened. 
DR. DHARAM VIRA GANDHI:  The people of Delhi are suffering for the 
last few weeks because of acute shortage of power. The LG and the Delhi 
Administration should tackle this problem and ameliorate the suffering of the 
people of Delhi immediately. It is apprehended that the Government is planning to 
double the gas price from $ 4.2 to $ 8.4 per mmbtu with effect from 1st July, 2014.  
If this reckless pro-corporate and anti-people decision implemented, is fraught with 
dangers of serious repercussions for the economic life of the country through rise 
in price of fertilizers, transport and gas-based electricity.  The drug menace is 
widely prevalent among the youth in Punjab.  I request the Central government to 
take effective and immediate steps to seal the Indo-Pak border so that it no more 
remains pores and this evil design does not work anymore. Unless the entire 
network of drug addiction is smashed right from the top to the bottom, unless the 
youths are given useful employment after proper de-addiction drive, this problem 
is not going to be solved at all.   Punjab suffered grave losses both in terms of 
human life and economic derailment in 1980s and 1990s.   During all these years 
of turmoil, our State of Punjab is heavily indebted and is still paying huge 
installments of money every year to the Centre. I, therefore, strongly urge upon the 
Central Government to write off all the debts against Punjab and stop punishing the 
people of Punjab for no fault of theirs.  Our Party strongly condemns the spate of 
violence against women in Uttar Pradesh and other parts of the country and 
demands stringent, speedy and exemplary punishment against the perpetrators of 
such heinous crimes against women."
SHRI KIRAN RIJIJU,"The Government have decided to put its best foot 
forward with the excellent slogan ‘Ek Bharat, Aur Shreshtha Bharat’ and ‘Sab ka 
Sath, Sabka Vikas’.   It indicates the beginning of good days for those who felt 
alienated.  The decision has been taken to formulate Van Bandhu Kalyan Yojana 
for the Schedule Tribes.  It seems that it is the beginning of bringing those people 
in mainstream who had been displaced from their water, forests and land.  All the 
North Eastern States are not inter-connected. The Presidential Address promised 
that the Government is going to provide inter-connectivity in North Eastern states.  
Conservation of Himalayan ecology has been a very sensitive subject.  A national 
mission on Himalayas has been on the anvil since a very long time.   We had also 
formed a Trans Himalayan Parliamentary Forum during Fourteenth Lok Sabha.   
80 per cent of fresh water in our rivers comes from the Himalayas.  Unless the 
Himalayas is conserved, the country cannot be healthy.  The Government 
understands it.  It is the responsibility of all Indians to conserve and save the 
Himalayas- the crown of India.  The Government has decided to outline setting up 
fifty tourist circuits and pilgrimage destinations.  With the implementation of these 
steps, the numbers of tourists visiting India will increase three or four fold.  We do 
not follow imperialistic foreign policy and also do not want war with our 
neighbours.  We rather want peace.   We also want to change the negative policy of 
the previous Government regarding border areas.  Our borders with China have not 
been delineated. The pact signed by Shri Atal Bihari Vajpeyee in 2003 states that 
whenever the work for demarcating the border will be taken up then the inhabitants 
living on both sides of the area will not be disturbed.   The Prime Minister has 
given the vision of Brand India which means that the people from all walks of life 
will come together and work for the country, only then we will be able to get back 
our lost pride and honour and land as well since India has the inherent capability to 
lead the world. 
 SHRI RAMEN DEKA:  I welcome Hon‟ble President‟s speech which 
reflects new Government‟s policy.  The policy reflected the government‟s concern 
of common people.  The commitment to contain food inflation will give relief to 
the common mass.  The steps to be taken by establishing IIT, IIMs and AIIMS like 
hospitals in every States will help backwards States specially N.E. region.  I am 
happy to note that new Government promises to tackle the problem of infiltration 
on priority basis. Further Government emphasized to complete fencing work in the 
border at the earliest possible time.  Infiltration is a major issue in N.E. states, 
particularly in Assam.  Due to porus boundary illegal migrants are coming on daily 
basis and consequently demography of Assam is going to be changed. The new 
Government assures to lay special emphasis on improving the intra-region 
connectivity and border infrastructure will usher a new dimension of development 
in Assam and North-East states.  The Nation is looking forward for a united, strong 
and modern India."
SHRI RAJIV SHANKARAO SATAV,"Supporting the Motion of Thanks 
on Presidential Address said that Charity begins at home when they talk of 
development in the perspective of youths. This should be reflected in their 
formation of Cabinet. They have also talked about rights in this Address. But there 
is no mention of Right to Information Act nor Right to Education etc in this 
Address. This poses a question on their intention whether they want to abrogate the 
RTI? I would also like to request the Govt. to kindly pass the Women Reservation 
Bill within the stipulated time and refrain false promises to people."
SHRI BADRUDDIN AJMAL,"Flood, erosion, road connectivity and the 
lack of industries are the major issues in Barpeta, Assam.  Karimganj has the issue 
of mega road connectivity. The road connectivity in Assam has almost 
disappeared.     The Brahmputra has proved a devil to the people of Assam.  It has 
guzzled of almost 1.27 lakh hectare land and more than 30 lakh people in the last 
25-30 years.  The Brahmputra is the major blow on the developments of the 
Assam. In 1983, BTAD agreement was signed with the people of Bodoland areas.   
The Bodo people constitute only 29 per cent of the population and the interests of 
71 percent non-Bodo people were not safeguarded.  This is the main reason behind 
riots in Assam. The issue of riots in Assam would be solved only with the only 
with the protection of the interest of remaining population.  The Madarasas should 
be modernized.  Our party has the clear vision to seal the Bangladesh border so 
that the intrusion from Bangladesh could be stopped.  No foreigner entered after 
25th March 1971 should be let stay in India and all such Bangladeshi should be 
expelled.  This expulsion should be within the limit of the law or the Constitution 
of India."
SHRI RAMSINH RATHWA,"The Presidential Address is a vision 
document of this Government which is a reflection of work done in Gujarat and 
subsequently to the country by our Prime Minister.  The people of our country 
have expressed their confidence in him who will definitely try to fulfill their 
dream.  This is the first time in the history of India that BJP has got clear majority 
in the Lok Sabha. In spite of that slogan of NDA is “Sabka Saath, Sabka Vikas”. 
 
The mention „Vanbandhu Kalyan Yojana‟ in this Address is a good gesture 
and I welcome it wholeheartedly.  We will have to accord utmost importance to 
education as enshrined in our Constitution and will have to overhaul it, if needed.  
The people of India have seen a number of such leaders who gone scot free in spite 
of their involvement in scams and murders.  But advent of Sri Modi as a Prime 
Minister of India has kindled a new hope and aspiration in them.  Their intent and 
objectives have been made clear within days by the steps they have taken.  It is 
indeed a laudable step.  But we have to restrain patience as our policy and intent 
are crystal clear which will definitely bring prosperity in the country.  
DR. P. VENUGOPAL:  Promise to bring in a spirit of cooperative 
federalism to restore the federal spirit that had been diluted in the previous years is 
praise worthy.  The Government has a stupendous task ahead. Food prices continue 
to rise every month.   As India grows rapidly, the demand for high nutrition food 
goes up.  Lot of foodgrains rot in central godowns and do not reach the market 
efficiently. President‟s Address promises that the Government will come down 
hard on hoarding of food by intermediaries. We expect the Budget to make an 
allocation of money to boost the infrastructure to ease food supply.  I would appeal 
to the hon. prime Minister to accord priority and set up an AIIMS like institute in 
Tamil Nadu during the current year.  As regards railway network, Tamil Nadu has 
been left out so far.  Most of the urban and rural areas of Tamil Nadu still remain 
unconnected by rail. I hope Tamil Nadu will get its due share of new railway lines 
and new trains in the coming years."
SHRI JAYADEV GALLA,"People have voted for development and 
growth, for improving the basic needs through efficient administration.   I would 
urge that when we make the policies on industrial development, we should focus 
on how to create non-migratory jobs. Putting jobs where people are, rather than 
taking people to where jobs are. MGNREG Scheme, in spite of its good intentions, 
has actually depleted the labour force from organised industries.   It is not a case of 
lack of labour, but the labour is not willing to work. The lacuna in the MGNREG 
Scheme needs to be reviewed and policies need to be made so that not just 
unemployment, but under-employment is also studied.    Less than three per cent of 
the land is used for industry.  Land prices are skyrocketing. Land prices should not 
be a constraint for industrial development, and land acquisition policy and 
incentives should be linked to job creation as one of the matrices. We need both 
high-tech and low-tech jobs in India. In order to create a world class manufacturing 
hub, innovation, brand-building, technology and research and development is 
important. Electronic imports every soon are going to exceed oil imports.  That is a 
very troubling situation for our country.  I think, focus needs to be brought into 
improve the electronic sector and for that a FAB manufacturing Unit is critical. 
The President has said in his speech that 100 new smart cities will be created and I 
would urge that the very first one should be the new Capital of Andhra Pradesh.  
We are building flyovers, but we are forgetting about the needs of people who 
walk on feet and this also needs to be addressed.  Today, AP is left with a deficit 
Budget.  We have higher debt.  We have more power generation, but we are being 
forced to supply the lion‟s share of power to Telangana and the water situation is 
yet to be resolved.  Hence, clarity on these issues is of utmost importance if both 
the States are to go forward."
SHRI ARVIND SAWANT,"This year‟s general elections were full of 
hopes and aspirations.  South Mumbai is my Parliamentary Constituency.  A large 
number of people live in jhuggi-jhopris.  In the President‟s Address there is a 
mention of giving pucca house to all these jhuggi-jhopri dwellers.  There is a 
mention of total elimination of poverty from the country. Mumbai city provides 
maximum income tax to the Government exchequer every year.  Therefore, we 
want that the hon. Prime Minister should pay attention towards our city.  
Development of youth has also find a mention as also the national education in the 
President Address.  Today, public schools are mushrooming in our country.  The 
poor also want to send their children to these public schools.  This aspect should be 
taken into consideration while formulating the new national education policy.  I 
also hope that this government would address the problems being faced by our 
farmers.  Similarly, the problems of businessmen should also be addressed.  I 
welcome GST in this connection.  Cleansing of the River Ganga has also find a 
mention in the President‟s Address. This is a very good thing.  Similarly, I want 
that all the rivers of the country should also meet the same treatment.  I firmly 
believe that good days are about to come.   
DR. (SMT.) RATNA DE (NAG): The President‟s Address is full of 
promises but there are many vexed problems before our country.  Drought is 
looming large in the country.  Controlling floods would be a Herculean task for 
Government. From where the Government would plough funds for successful 
implementation of many popular schemes like Food Security scheme, 
MGNREGA?  West Bengal is reeling under financial stress and heavy debt burden 
due to which West Bengal Government is unable to take up developmental projects 
for the benefit of poor and downtrodden people.  I  request the  Government to 
intervene  in bailing out the state by announcing a three year moratorium on 
payment of interest.  I would urge the Government to stop spiraling of prices of 
essential commodities and petroleum products so as to help the poor and 
downtrodden.   There is a mention in the Presidential Address about interlinking of 
rivers.  The regional interests should be kept in mind while implementing the 
scheme of linking of rivers. There is no proper understanding between the 
insurance company, the agriculture department and the banks.  The Government is 
not having a monitoring mechanism in this respect.  Premium deposited by the 
farmers are wrongly accounted. With the result farmers are losing.  Government 
should announce waiver of loans taken by the farmers. All types of labourers in all 
the sectors should  get minimum wages.  More than 26 crore people cannot afford 
healthcare expenses and the Government hospitals cater to only a quarter of the 
people who approach the Government Hospitals desperately without any source of 
treatment.  Government hospitals, in urban areas be upgraded at par with the State 
of art private hospitals.  There is a necessity for new B.P.L. lists so that the acute 
poor and downtrodden would get the benefits of schemes which are made for them."
SHRI ARJUN RAM MEGHWAL,"It has been mentioned in the very first 
para of the President‟s Address that the legislative agenda of the 16th Lok Sabha 
will be productive and useful.  During the period of 15th Lok Sabha the legislative 
business of the House received a major setback.  The pace of urbanization of the 
country is going at the rate of 45 per cent.  It is mentioned in the President‟s 
Address that 100 new smart cities will be built.  The Prime Minister has launched 
the Pradhan Mantri Krishi Sinchayee Yojana for irrigation purpose.  The manner in 
which the Pradhan Mantri Gram Sadak Yojana proved a milestone for the country 
similarly, this Yojana will also be proved a milestone in the history of the country.  
There are so many new schemes which have find a mention in the President‟s 
Address.  The Prime Minister would say in his election speeches that he wanted 
railways to be a growth engine of the country.  The same spirit has been reflected 
in the President‟s Address as far as the Railways is concerned.  Railways did not 
get the kind of priority it should have got during the UPA-I and UPA-2 regime.  
New priorities have been fixed for the Railways.  The Government will launch a 
national mission „e-Bhasha‟ that will help in the development of our regional 
languages.  This will also help in removing the fear of civil services aspirants 
having apprehensions about their not clearing the said exam.  It is also mentioned 
in the President‟s Address that hilly and desert areas will get the same facilities in 
order to develop these areas.  There are 3.25 crore court cases pending in various 
courts of the country.  The total number of judges in High Courts is 906 and 250 
posts of judges are lying vacant out of them.  The Government has fully 
emphasized the need for bringing about reforms in our judicial system. 
DR. KAKOLI GHOSH DASTIDAR: We promise to be by the side of the 
government for all their pro-people agenda but definitely we will be working as 
democratic watchdog and we will be critical on issues which are anti-people and 
anti-democracy.  It has been promised that pucca homes are going to be built for 
the poor people, and the road infrastructure is going to be given a lot of attention, 
which the rural India really needs.  We have promised here equal rights for the 
women and reservation for women in the Parliament.  We have not been able to 
fulfil our target of bringing down the maternal mortality rate and the infant 
mortality rate.  So, let us look into this matter very seriously.  As far as food is 
concerned, our State of West Bengal has been able to fulfil the demand of food.  
Sanitation is very-very important.  Sometimes girls are raped when they go out 
because there are no toilets in their houses.  So, we need more toilets not only to 
take care of these women but also as a means of cutting down on crime.  Our State 
would require more funds to build toilets for public purposes and women alike.  
Our State has three international borders with countries like Bhutan, Nepal and 
Bangladesh.  So, before any decision is taken regarding these international borders, 
we do wish to stress that our state government be taken into confidence.  It has also 
been said here that hospitals of the All India Institute of Medical Science kind are 
being planned for different states.  Our State Government has a very clear-cut land 
policy.  So, before the Government takes any action, we would request to 
definitely engage us. As far as the rail is concerned, the metro railway that was 
supposed to have taken place all round the city of Kolkata should be given some 
priority because our Chief Minister had already sanctioned money for the purpose 
when she was the Railway Minister.  I would really request to look at that.  The 
Dream liners which are being used have been found worldwide to be defective.  
So, I think these airliners should be taken away from circulation."
SHRI E. AHMAD,"I would just like to say that my Party is here in this 
House since 1952 and whenever we have to support the Government we support 
but it is also our duty to oppose whenever the Government goes against our 
polices.  Now we are in the Opposition.  It is our duty to function as a constructive 
Opposition during this time. Muslims form the largest section of minority 
community in India and we consider the Muslims here as a national minority.  It is 
the duty of every Government to provide a sense of security to this section of 
people.  I would also like to bring to the attention of this august House that there is 
a very poor representation of the Muslim community in the Government and 
Public Sectors.   Their legitimate rights and aspirations must be taken into 
consideration.  I would just mention that during the last few decades, countries in 
the Gulf have grown very much economically.  With these countries, we should 
maintain regular high level exchanges, economic exchanges, constant security 
dialogues and promotion of people-to-people exchange.  If the priorities as 
mentioned in the President‟s Address are implemented by this Government, we 
will also be happy about it. 
DR. A. SAMPATH: Presidential Address is silent on various crucial and most 
important questions of our nation face.  An IIT should be set up in Kerala having it 
HQ in the capital. A permanent bench of High Court at Thiruvnanthapuram should 
also be set up.  The creation of Peninsular Railway Zone having its headquarters at 
Thiruvananthapuram is also a long pending demand.  Attention should be paid in 
this regard. Our Railway should be people friendly.  The strict enforcement of all 
basic labour laws without any exception or exemption and stringent punishment for 
violation of labour laws is necessary.  Urgent measures should be taken for filling 
up of the 1.50 million jobs laying  vacant under various Union Government 
establishments and PSUs. Effective implementation of the land reforms through 
structural changes and legislations is highly necessary. I request the Government to 
scrap all anti-farmer international treaties in which India became a party.  
Government has a primary duty to curb the unprecedented rise in price of all 
essential commodities. Unless and until the FCI is strengthened and its activities 
more spread up, we will not be able to develop a strong PDS throughout the nation. 
Development, strengthening and universalisation of Integrated Child Development 
Scheme should be made and effective steps should be taken to check the 
malnutrition among the women and children in our county. The Government has to 
take strong steps to develop efficient water transport in the country.  Water is the 
most precious resource in the world and hence water resources should be protected 
at any cost. Policies should be for the relief and benefit of the people.  The tribal 
population in various parts of the nation are facing threats from the so-called 
apostles of development.  We have to protect the nature and environment."
SHRI ANTO ANTONY,"I am grateful for granting me an opportunity to 
participate in this debate on the Motion of Thanks on the Hon‟ble President‟s 
Address. I appreciate the Government‟s commitment to ensure a clean Ganga, I 
invite the attention to Holy River Pampa in Kerala. Pampa is one of the sources of 
water to districts in Central Kerala, and it also feeds, Kuttanad- the rice-bowl of the 
State. About 40 lakhs people depend on this river for various needs. River Pampa  
is shrinking in size due to pollution. As a result, the Biodiversity and the 
Hydrological terrain of Pampa Basin are facing a major threat. Therefore, I request 
the Government to launch a special programme to protect River Pampa. I request 
the Government to provide connectivity to Sabarimala in Kerala and delcare it as a 
National Pilgrim Centre and to up-grade infrastructural facilities at this Holy 
Shrine."
SHRI ANIL SHIROLE,"The responsibility to address the issues 
mentioned by the Hon‟ble President in his Address, lies with the government.  I 
hope that the government will fulfill the hopes and aspirations of the people. The 
government aims to develop 100 new cities equipped with World-class amenities 
and specific infrastructure, looking at the issue of urbanization as an opportunity 
rather than a challenge.  I request that Pune may be included in the mission of 
Smart City."
